country_code,income_level
AFG,LIC
AGO,LMC
ALB,UMC
ARE,HIC
ARG,UMC
ARM,UMC
ATG,HIC
AUS,HIC
AUT,HIC
AZE,UMC
BDI,LIC
BEL,HIC
BEN,LMC
BFA,LIC
BGD,LMC
BGR,HIC
BHR,HIC
BHS,HIC
BIH,UMC
BLR,UMC
BOL,LMC
BRA,UMC
BRN,HIC
BTN,LMC
BWA,UMC
CAF,LIC
CAN,HIC
CHE,HIC
CHL,HIC
CHN,UMC
CIV,LMC
CMR,LMC
COD,LIC
COG,LMC
COL,UMC
COM,LMC
CRI,UMC
CUB,UMC
CYP,HIC
CZE,HIC
DEU,HIC
DJI,LMC
DNK,HIC
DOM,UMC
DZA,UMC
ECU,UMC
EGY,LMC
ERI,LIC
ESP,HIC
EST,HIC
ETH,LIC
FIN,HIC
FJI,UMC
FRA,HIC
GAB,UMC
GBR,HIC
GEO,UMC
GHA,LMC
GIN,LMC
GMB,LIC
GNB,LIC
GNQ,UMC
GRC,HIC
GRD,UMC
GTM,UMC
GUY,HIC
HKG,HIC
HND,LMC
HRV,HIC
HTI,LMC
HUN,HIC
IDN,UMC
IND,LMC
IRL,HIC
IRN,UMC
IRQ,UMC
ISL,HIC
ISR,HIC
ITA,HIC
JAM,UMC
JOR,LMC
JPN,HIC
KAZ,UMC
KEN,LMC
KGZ,LMC
KHM,LMC
KOR,HIC
KWT,HIC
LAO,LMC
LBN,LMC
LBR,LIC
LBY,UMC
LKA,LMC
LSO,LMC
LTU,HIC
LUX,HIC
LVA,HIC
MAR,LMC
MDA,UMC
MDG,LIC
MDV,UMC
MEX,UMC
MKD,UMC
MLI,LIC
MLT,HIC
MMR,LMC
MNE,UMC
MNG,UMC
MOZ,LIC
MRT,LMC
MUS,UMC
MWI,LIC
MYS,UMC
NAM,UMC
NER,LIC
NGA,LMC
NIC,LMC
NLD,HIC
NOR,HIC
NPL,LMC
NZL,HIC
OMN,HIC
PAK,LMC
PAN,HIC
PER,UMC
PHL,LMC
PNG,LMC
POL,HIC
PRT,HIC
PRY,UMC
QAT,HIC
ROU,HIC
RUS,HIC
RWA,LIC
SAU,HIC
SDN,LIC
SEN,LMC
SGP,HIC
SLB,LMC
SLE,LIC
SLV,UMC
SOM,LIC
SRB,UMC
STP,LMC
SVK,HIC
SVN,HIC
SWE,HIC
SYR,LIC
TCD,LIC
TGO,LIC
THA,UMC
TJK,LMC
TKM,UMC
TLS,LMC
TTO,HIC
TUN,LMC
TUR,UMC
TZA,LMC
UGA,LIC
UKR,UMC
URY,HIC
USA,HIC
UZB,LMC
VEN,INX
VNM,LMC
YEM,LIC
ZAF,UMC
ZMB,LMC
ZWE,LMC
