,country_code,le_2020_mean,2017,2018,2019
0,ABW,76.07433333333334,75.903,76.072,76.248
1,AFE,63.347976716666665,62.92238962,63.36586261,63.75567792
2,AFG,63.220666666666666,63.016,63.081,63.565
3,AFW,57.21112688333333,56.88844583,57.18913927,57.55579555
4,AGO,62.090666666666664,61.68,62.144,62.448
5,ALB,79.17099999999999,79.047,79.184,79.282
7,ARB,71.63574622666667,71.429596,71.63301665,71.84462603
8,ARE,79.619,79.504,79.627,79.726
9,ARG,77.03866666666666,76.833,76.999,77.284
10,ARM,75.13633333333333,74.906,75.064,75.439
12,ATG,78.49,78.268,78.511,78.691
13,AUS,82.71626016333333,82.5,82.74878049,82.9
14,AUT,81.74390244000001,81.64390244,81.69268293,81.89512195
15,AZE,72.70333333333333,72.248,72.76,73.102
16,BDI,61.864,61.553,61.688,62.351
17,BEL,81.69430894333334,81.49268293,81.59512195,81.99512195
18,BEN,60.150000000000006,59.856,60.14,60.454
19,BFA,59.874,59.536,60.047,60.039
20,BGD,72.387,71.788,72.567,72.806
21,BGR,74.96341463333333,74.81463415,74.96341463,75.11219512
22,BHR,79.855,79.689,79.857,80.019
23,BHS,72.88099999999999,73.632,73.806,71.205
24,BIH,77.08966666666667,76.935,77.093,77.241
25,BLR,74.17723577333334,74.12926829,74.17560976,74.22682927
26,BLZ,73.73199999999999,73.562,73.703,73.931
27,BMU,81.403,82.351,80.825,81.033
28,BOL,67.76333333333334,67.701,67.748,67.841
29,BRA,75.09133333333332,74.827,75.109,75.338
30,BRB,77.08666666666666,76.936,77.067,77.257
31,BRN,74.72733333333333,74.722,74.712,74.748
32,BTN,71.12233333333334,70.847,71.129,71.391
33,BWA,65.87966666666667,66.753,65.422,65.464
34,CAF,54.37166666666667,53.721,54.369,55.025
35,CAN,81.96691057,81.83292683,81.84390244,82.22390244
36,CEB,77.05734790333334,76.92837636,76.97682268,77.26684467
37,CHE,83.73658536666666,83.55121951,83.75365854,83.90487805
38,CHI,81.36533333333334,81.331,81.375,81.39
39,CHL,80.26966666666667,80.35,80.133,80.326
40,CHN,77.65333333333335,77.248,77.744,77.968
41,CIV,58.882666666666665,58.48,58.849,59.319
42,CMR,61.19133333333334,60.81,61.18,61.584
43,COD,59.87633333333334,59.411,59.942,60.276
44,COG,63.52,63.76,64.053,62.747
45,COL,76.71533333333333,76.646,76.748,76.752
46,COM,63.86833333333334,63.625,63.912,64.068
47,CPV,76.11000000000001,76.593,75.733,76.004
48,CRI,79.42933333333333,79.377,79.484,79.427
49,CSS,72.50987855999999,72.44465399,72.71124108,72.37374061
50,CUB,77.54533333333332,77.529,77.496,77.611
51,CUW,78.01707317,78.01707317,,
53,CYP,81.36900000000001,81.328,81.382,81.397
54,CZE,79.07886178666666,78.97804878,79.02926829,79.22926829
55,DEU,81.05934959666666,80.99268293,80.89268293,81.29268293
56,DJI,62.97333333333333,62.797,63.038,63.085
57,DMA,71.558,67.525,73.59,73.559
58,DNK,81.16910569,81.10243902,80.95365854,81.45121951
59,DOM,73.29066666666667,73.063,73.232,73.577
60,DZA,76.09433333333334,75.743,76.066,76.474
61,EAP,75.72978844666667,75.38591132,75.80143372,76.0020203
62,EAR,70.78267097999999,70.53844903,70.79482503,71.01473888
63,EAS,76.53469373,76.21244006,76.59395885,76.79768228
64,ECA,74.11378921333333,73.90620692,74.10373588,74.33142484
65,ECS,77.95338275666667,77.77312883,77.90651245,78.18050699
66,ECU,77.121,76.972,77.094,77.297
67,EGY,71.34233333333334,71.302,71.367,71.358
68,EMU,82.0573274,81.8854775,82.00454189,82.28196281
69,ERI,66.98133333333334,66.577,67.067,67.3
70,ESP,83.51544715666667,83.28292683,83.43170732,83.83170732
71,EST,78.32764227666667,78.09268293,78.24390244,78.64634146
72,ETH,65.36266666666667,64.838,65.412,65.838
73,EUU,81.09059853666666,80.92820865,81.028729,81.31485796
74,FCS,61.96630556,61.65708441,61.97205153,62.26978074
75,FIN,81.78292683,81.63170732,81.73414634,81.98292683
76,FJI,67.831,67.79,67.81,67.893
77,FRA,82.69268293,82.57560976,82.67560976,82.82682927
78,FRO,82.46178861666667,82.24390244,82.49512195,82.64634146
79,FSM,71.28733333333334,71.467,71.318,71.077
80,GAB,66.366,66.189,66.306,66.603
81,GBR,81.30569105666666,81.25609756,81.25609756,81.40487805
82,GEO,73.46033333333334,73.57,73.341,73.47
83,GHA,64.29166666666667,64.013,64.122,64.74
84,GIB,82.11566666666666,81.83,82.154,82.363
85,GIN,59.39266666666666,59.109,59.349,59.72
86,GMB,63.26333333333333,62.995,63.04,63.755
87,GNB,60.48333333333334,60.066,60.502,60.882
88,GNQ,61.21866666666667,60.821,61.191,61.644
89,GRC,81.57154471666666,81.28780488,81.78780488,81.63902439
90,GRD,74.812,74.765,74.808,74.863
91,GRL,71.94804878000001,71.93219512,71.96756098,71.94439024
92,GTM,72.802,72.551,72.726,73.129
93,GUM,77.437,77.155,77.439,77.717
94,GUY,68.89566666666666,68.667,68.896,69.124
95,HIC,79.93233002999999,79.78272794,79.88722444,80.12703771
96,HKG,84.90707317333333,84.69560976,84.8697561,85.15585366
97,HND,72.79566666666666,72.692,72.814,72.881
98,HPC,62.94513112333334,62.54976047,62.94757595,63.33805695
99,HRV,78.10731707333333,77.82682927,78.07073171,78.42439024
100,HTI,64.04266666666666,63.854,64.019,64.255
101,HUN,76.06747967666666,75.81707317,76.06585366,76.3195122
102,IBD,73.90380674666666,73.64321077,73.93598111,74.13222836
103,IBT,71.29637352333333,71.04228778,71.32139442,71.52543837
104,IDA,63.8782257,63.54116946,63.8811012,64.21240644
105,IDB,61.10018585666666,60.87951934,61.08247418,61.33856405
106,IDN,70.264,69.936,70.338,70.518
107,IDX,65.26390503666666,64.87272865,65.27719306,65.6417934
108,IMN,80.59666666666666,80.457,80.596,80.737
109,IND,70.69566666666667,70.467,70.71,70.91
111,IRL,82.35447154333333,82.15609756,82.20487805,82.70243902
112,IRN,76.08966666666667,75.971,76.195,76.103
113,IRQ,71.16766666666666,70.413,71.514,71.576
114,ISL,82.89512195,82.66097561,82.86097561,83.16341463
115,ISR,82.71951219333333,82.55121951,82.80243902,82.80487805
116,ITA,83.26341463333334,82.94634146,83.34634146,83.49756098
117,JAM,71.82366666666667,71.911,71.793,71.767
118,JOR,75.77333333333333,75.502,75.774,76.044
119,JPN,84.22235772333333,84.0997561,84.21097561,84.35634146
120,KAZ,73.09333333333335,72.95,73.15,73.18
121,KEN,62.70000000000001,62.481,62.676,62.943
122,KGZ,71.4,71.2,71.4,71.6
123,KHM,70.58933333333334,70.515,70.561,70.692
