,country_code,country,region,income_level,happiness_score,gdp_2020_mean,gdp_2020_log,le_2020_mean,social_support,freedom_to_make_life_choices,generosity,perceptions_of_corruption
0,FIN,Finland,Western Europe,HIC,7.808700085,48343.20695666666,10.786080993733972,81.78292683,0.954329729,0.949172199,-0.059482019,0.195444584
1,DNK,Denmark,Western Europe,HIC,7.645599842,59598.335913333336,10.99538293174642,81.16910569,0.955990791,0.951444268,0.066201776,0.168489456
2,CHE,Switzerland,Western Europe,HIC,7.559899807,83864.55903666667,11.33695838410116,83.73658536666666,0.942846596,0.921336651,0.105911039,0.303728431
3,ISL,Iceland,Western Europe,HIC,7.504499912,71638.19144000001,11.179383610741525,82.89512195,0.974669576,0.948891878,0.246944219,0.711709738
4,NOR,Norway,Western Europe,HIC,7.487999916,78451.75668666667,11.270239150347269,82.77560976,0.952486575,0.955750287,0.13453263,0.263218194
5,NLD,Netherlands,Western Europe,HIC,7.448900223,51398.676009999996,10.847367692551188,81.89512195,0.93913883,0.908547819,0.20761244,0.364717126
6,SWE,Sweden,Western Europe,HIC,7.353499889,53439.999619999995,10.886314801099749,82.69268293,0.926311195,0.939144194,0.111614622,0.250880182
7,NZL,New Zealand,North America and ANZ,HIC,7.299600124,42963.031513333335,10.66809529264591,81.87398374000001,0.949118972,0.936217487,0.191598073,0.22113885
8,AUT,Austria,Western Europe,HIC,7.294199944,49654.43358333333,10.812842962230475,81.74390244000001,0.928045869,0.899989486,0.085429221,0.499954879
9,LUX,Luxembourg,Western Europe,HIC,7.237500191,113235.3884,11.637224014270835,82.34308943,0.906912208,0.90563643,-0.004620588,0.367084295
10,CAN,Canada,North America and ANZ,HIC,7.23210001,46007.22454,10.736553718356744,81.96691057,0.927176654,0.933913231,0.124770768,0.390843362
11,AUS,Australia,North America and ANZ,HIC,7.222799778,55425.881963333326,10.922801947092832,82.71626016333333,0.944854617,0.915431738,0.19046016,0.41516912
12,GBR,United Kingdom,Western Europe,HIC,7.164500237,42146.15698666667,10.648898784579782,81.30569105666666,0.93668282,0.834743679,0.263732493,0.435915917
13,ISR,Israel,Middle East and North Africa,HIC,7.128600121,42657.95323333333,10.660969012283928,82.71951219333333,0.913571239,0.747580588,0.10259372,0.78085506
14,CRI,Costa Rica,Latin America and Caribbean,UMC,7.121399879,12390.20824,9.424661781584453,79.42933333333333,0.901545942,0.934738934,-0.10242971,0.786332428
15,IRL,Ireland,Western Europe,HIC,7.093699932,76815.32601,11.249159456648705,82.35447154333333,0.942081571,0.886982977,0.145784974,0.357184172
16,DEU,Germany,Western Europe,HIC,7.075799942,46465.66863,10.746469009858851,81.05934959666666,0.898874462,0.867371082,0.080179386,0.456422031
17,USA,United States,North America and ANZ,HIC,6.939599991,63023.79268333333,11.051267595717674,78.65528455333333,0.914219022,0.842619538,0.149891734,0.699715316
153,CZE,Czech Republic,Central and Eastern Europe,HIC,6.910900116,22575.17609,10.02460618,79.06763333,0.914430678,0.818537354,-0.230861515,0.85844624
19,BEL,Belgium,Western Europe,HIC,6.863500118,46128.394980000005,10.739183982536634,81.69430894333334,0.911632538,0.813582063,-0.078691199,0.612297952
20,ARE,United Arab Emirates,Middle East and North Africa,HIC,6.790800095,45054.13568,10.715620060820719,79.619,0.849181116,0.941345513,0.123450845,0.594502211
21,MLT,Malta,Western Europe,HIC,6.772799969,30783.417116666667,10.334731418666456,82.55121951333334,0.93037951,0.924911439,0.214965805,0.658547282
22,FRA,France,Western Europe,HIC,6.663799763,40277.934213333334,10.603559059850346,82.69268293,0.937103748,0.825467646,-0.130641967,0.583521128
23,MEX,Mexico,Latin America and Caribbean,UMC,6.465000153,10086.072803666668,9.218910820899996,74.11833333333334,0.838665426,0.858709276,-0.175266623,0.806821585
154,TWN,Taiwan Province of China,East Asia,HIC,6.45539999,50993.93333,10.83946195,80.43883333,0.894309103,0.77153033,-0.073198698,0.73188293
25,URY,Uruguay,Latin America and Caribbean,HIC,6.440100193,18737.24829,9.838268708831631,77.58133333333332,0.92281127,0.892395437,-0.101103112,0.635994136
26,SAU,Saudi Arabia,Middle East and North Africa,HIC,6.406499863,22830.590836666666,10.035856619025436,77.22533333333334,0.874067068,0.854191244,-0.168695062,0.682619512
27,ESP,Spain,Western Europe,HIC,6.400899887,29382.187010000005,10.288143885691277,83.51544715666667,0.921125412,0.751989543,-0.050961714,0.765859902
28,GTM,Guatemala,Latin America and Caribbean,UMC,6.398900032,4529.194728333333,8.418299438510331,72.802,0.816621482,0.908147573,-0.042938665,0.783237457
29,ITA,Italy,Western Europe,HIC,6.38740015,33567.54698333333,10.42131501561322,83.26341463333334,0.889878571,0.66465199,-0.043460999,0.873404682
30,SGP,Singapore,Southeast Asia,HIC,6.377099991,64694.81821666667,11.077436387894751,83.32926829333333,0.910268962,0.926645339,0.029879224,0.109784193
31,BRA,Brazil,Latin America and Caribbean,UMC,6.375599861,9287.688013,9.136444932481949,75.09133333333332,0.896723807,0.799804807,-0.101812392,0.770601273
32,SVN,Slovenia,Central and Eastern Europe,HIC,6.363399982,25226.739646666665,10.135659808023867,81.31219512,0.939575672,0.936142623,-0.080603383,0.817071021
33,SLV,El Salvador,Latin America and Caribbean,UMC,6.34829998,4137.399923,8.327822831598226,72.47500000000001,0.806092262,0.833805263,-0.121072978,0.754319906
155,XKX,Kosovo,Central and Eastern Europe,UMC,6.325200081,4269.857248,8.359335674,78.83373333,0.820726514,0.861535907,0.190933764,0.922328293
35,PAN,Panama,Latin America and Caribbean,HIC,6.304800034,15938.29284,9.676479847486979,77.82266666666668,0.902094483,0.880366504,-0.153927714,0.851588905
36,SVK,Slovakia,Central and Eastern Europe,HIC,6.280600071,18817.82707666667,9.842559948273063,77.36585365999998,0.922493756,0.749952674,-0.124409303,0.918096125
37,UZB,Uzbekistan,Commonwealth of Independent States,LMC,6.257599831,1772.0750113333334,7.479906461721296,71.16766666666666,0.926595807,0.974998116,0.248427153,0.501497388
38,CHL,Chile,Latin America and Caribbean,HIC,6.228499889,15156.766353333333,9.62620233521311,80.26966666666667,0.879713595,0.744896293,-0.065668367,0.838239431
39,BHR,Bahrain,Middle East and North Africa,HIC,6.227300167,25200.15237333333,10.13460532004208,79.855,0.876342118,0.905855775,0.13372919,0.7393471
40,LTU,Lithuania,Central and Eastern Europe,HIC,6.215499878,18562.43871,9.828895393721423,75.81463414333332,0.926107109,0.747381449,-0.219725296,0.809583843
41,TTO,Trinidad and Tobago,Latin America and Caribbean,HIC,6.191899776,16076.427513333334,9.68510934848082,74.08666666666666,0.91529417,0.857907116,0.000526841,0.912230611
42,POL,Poland,Central and Eastern Europe,HIC,6.186299801,15006.674083333333,9.616250320017281,77.75365853666666,0.874257445,0.862055779,-0.205084071,0.686927021
43,COL,Colombia,Latin America and Caribbean,UMC,6.163400173,6556.1727076666675,8.78816228296803,76.71533333333333,0.884440243,0.836179912,-0.161235645,0.86457181
